id;0
10;200
20;200
30;200
40;200
50;200
60;200
70;200
80;200
90;200
100;200
110;200
120;200
130;200
140;200
150;200
160;200
170;200
180;200
190;200
200;200
210;200
220;200
230;200
240;200
250;200
260;200
270;200
280;200
290;inf
300;200
310;200
320;200
330;200
340;200
350;200
360;200
370;200
380;200
390;200
400;200
410;200
420;200
430;200
440;200
450;200
460;200
470;200
480;200
490;200
500;200
510;200
520;200
530;200
540;inf
550;inf
560;200
570;inf
11;200
21;200
31;200
41;200
51;200
61;200
71;200
81;200
91;200
101;200
111;200
121;200
131;200
141;200
151;200
161;200
171;200
181;200
191;200
201;200
211;200
221;200
231;200
241;200
251;200
261;200
271;200
281;200
291;200
301;200
311;200
321;200
331;200
341;200
351;200
361;200
371;200
381;200
391;200
401;200
411;200
421;200
431;200
441;200
451;200
461;200
471;200
481;200
491;200
501;200
511;200
521;200
531;200
541;inf
551;inf
561;200
571;inf
581;200
591;200
601;200
611;200
621;200
631;200
580;200
590;200
600;200
640;inf
641;inf
650;inf
651;inf
660;inf
661;inf
