id_od;energy_level;0;
1;1;0;100
1;2;0;
1;3;1;
1;4;1;
1;5;1;
1;6;1;
1;7;2;
1;8;6;
1;9;8;
1;10;5;
1;11;5;
1;12;5;
1;13;5;
1;14;5;
1;15;5;
1;16;5;
1;17;5;
1;18;5;
1;19;5;
1;20;5;
1;21;5;
1;22;5;
1;23;5;
1;24;5;
1;25;5;
2;1;0;100
2;2;0;
2;3;1;
2;4;1;
2;5;1;
2;6;1;
2;7;1;
2;8;1;
2;9;0;
2;10;0;
2;11;0;
2;12;0;
2;13;14;
2;14;6;
2;15;6;
2;16;6;
2;17;6;
2;18;6;
2;19;6;
2;20;6;
2;21;6;
2;22;6;
2;23;6;
2;24;6;
2;25;14;
3;1;0;100
3;2;0;
3;3;1;
3;4;1;
3;5;1;
3;6;1;
3;7;2;
3;8;14;
3;9;4;
3;10;4;
3;11;4;
3;12;4;
3;13;4;
3;14;4;
3;15;4;
3;16;4;
3;17;4;
3;18;4;
3;19;4;
3;20;4;
3;21;4;
3;22;4;
3;23;4;
3;24;4;
3;25;16;
4;1;0;100
4;2;0;
4;3;1;
4;4;1;
4;5;1;
4;6;1;
4;7;1;
4;8;1;
4;9;0;
4;10;0;
4;11;0;
4;12;0;
4;13;14;
4;14;3;
4;15;7;
4;16;7;
4;17;7;
4;18;7;
4;19;7;
4;20;7;
4;21;7;
4;22;7;
4;23;7;
4;24;7;
4;25;7;
5;1;0;100
5;2;0;
5;3;1;
5;4;1;
5;5;1;
5;6;1;
5;7;1;
5;8;1;
5;9;0;
5;10;0;
5;11;0;
5;12;0;
5;13;2;
5;14;2;
5;15;10;
5;16;8;
5;17;8;
5;18;8;
5;19;8;
5;20;8;
5;21;8;
5;22;8;
5;23;8;
5;24;8;
5;25;8;
6;1;0;
6;2;0;
6;3;1;
6;4;1;
6;5;1;
6;6;1;
6;7;1;
6;8;1;
6;9;0;
6;10;0;
6;11;0;
6;12;0;
6;13;2;
6;14;2;
6;15;10;
6;16;8;
6;17;8;
6;18;8;
6;19;8;
6;20;8;
6;21;8;
6;22;8;
6;23;8;
6;24;8;
6;25;8;
